zone09,subzone09,EDA_FLAG
856,3933.000000000000000,Y
856,3934.000000000000000,Y
856,3935.000000000000000,Y
856,3936.000000000000000,Y
856,3932.000000000000000,Y
856,3931.000000000000000,Y
855,3906.000000000000000,Y
855,3905.000000000000000,Y
855,3904.000000000000000,Y
855,3903.000000000000000,Y
855,3902.000000000000000,Y
855,3901.000000000000000,Y
855,3908.000000000000000,Y
855,3909.000000000000000,Y
855,3910.000000000000000,Y
855,3911.000000000000000,Y
855,3907.000000000000000,Y
855,3912.000000000000000,Y
856,3937.000000000000000,Y
856,3938.000000000000000,Y
856,3939.000000000000000,Y
856,3940.000000000000000,Y
856,3941.000000000000000,Y
856,3942.000000000000000,Y
855,3914.000000000000000,Y
855,3915.000000000000000,Y
855,3916.000000000000000,Y
855,3917.000000000000000,Y
855,3913.000000000000000,Y
855,3918.000000000000000,Y
856,3943.000000000000000,Y
856,3944.000000000000000,Y
856,3945.000000000000000,Y
856,3946.000000000000000,Y
856,3947.000000000000000,Y
856,3948.000000000000000,Y
855,3920.000000000000000,Y
855,3921.000000000000000,Y
855,3922.000000000000000,Y
855,3923.000000000000000,Y
855,3919.000000000000000,Y
855,3924.000000000000000,Y
856,3949.000000000000000,Y
856,3950.000000000000000,Y
856,3951.000000000000000,Y
856,3952.000000000000000,Y
856,3953.000000000000000,Y
856,3954.000000000000000,Y
855,3926.000000000000000,Y
855,3927.000000000000000,Y
855,3925.000000000000000,Y
855,3928.000000000000000,Y
855,3929.000000000000000,Y
855,3930.000000000000000,Y
856,3955.000000000000000,Y
856,3956.000000000000000,Y
856,3957.000000000000000,Y
856,3958.000000000000000,Y
856,3959.000000000000000,Y
856,3960.000000000000000,Y
1059,7883.000000000000000,Y
1060,7896.000000000000000,Y
857,3962.000000000000000,Y
857,3963.000000000000000,Y
857,3961.000000000000000,Y
857,3964.000000000000000,Y
857,3966.000000000000000,Y
858,3997.000000000000000,Y
857,3965.000000000000000,Y
858,3998.000000000000000,Y
858,3999.000000000000000,Y
858,4000.000000000000000,Y
858,4001.000000000000000,Y
858,4002.000000000000000,Y
1059,7887.000000000000000,Y
1060,7900.000000000000000,Y
857,3967.000000000000000,Y
857,3968.000000000000000,Y
857,3969.000000000000000,Y
857,3970.000000000000000,Y
857,3971.000000000000000,Y
857,3972.000000000000000,Y
858,4003.000000000000000,Y
858,4004.000000000000000,Y
858,4005.000000000000000,Y
858,4006.000000000000000,Y
858,4007.000000000000000,Y
858,4008.000000000000000,Y
1059,7891.000000000000000,Y
1060,7904.000000000000000,Y
857,3973.000000000000000,Y
857,3974.000000000000000,Y
857,3975.000000000000000,Y
857,3976.000000000000000,Y
857,3977.000000000000000,Y
857,3978.000000000000000,Y
858,4009.000000000000000,Y
858,4010.000000000000000,Y
858,4011.000000000000000,Y
858,4012.000000000000000,Y
858,4013.000000000000000,Y
858,4014.000000000000000,Y
1063,7929.000000000000000,Y
1063,7928.000000000000000,Y
857,3979.000000000000000,Y
857,3980.000000000000000,Y
857,3981.000000000000000,Y
857,3982.000000000000000,Y
857,3983.000000000000000,Y
857,3984.000000000000000,Y
858,4015.000000000000000,Y
858,4016.000000000000000,Y
858,4017.000000000000000,Y
858,4018.000000000000000,Y
858,4019.000000000000000,Y
858,4020.000000000000000,Y
857,3985.000000000000000,Y
857,3986.000000000000000,Y
857,3987.000000000000000,Y
857,3988.000000000000000,Y
857,3989.000000000000000,Y
857,3990.000000000000000,Y
858,4021.000000000000000,Y
858,4022.000000000000000,Y
858,4023.000000000000000,Y
858,4024.000000000000000,Y
858,4025.000000000000000,Y
858,4026.000000000000000,Y
857,3991.000000000000000,Y
857,3992.000000000000000,Y
857,3993.000000000000000,Y
857,3994.000000000000000,Y
857,3995.000000000000000,Y
857,3996.000000000000000,Y
858,4027.000000000000000,Y
858,4028.000000000000000,Y
858,4029.000000000000000,Y
858,4030.000000000000000,Y
858,4031.000000000000000,Y
858,4032.000000000000000,Y
1065,7952.000000000000000,Y
1065,7953.000000000000000,Y
1079,8016.000000000000000,Y
1079,8017.000000000000000,Y
1080,8020.000000000000000,Y
1080,8021.000000000000000,Y
1081,8024.000000000000000,Y
1081,8025.000000000000000,Y
1065,7955.000000000000000,Y
1065,7954.000000000000000,Y
